observer,adapt_lum,contrast,enhanced_contrast,enhancement,repetition,angle,answer,time
01,1.000000e-01,10,0,0,1,105,1, 5.68
01,1.000000e-01,10,0,0,1,95,1, 4.50
01,1.000000e-01,10,0,0,1,65,0, 2.12
01,1.000000e-01,10,0,0,1,85,1, 5.54
01,1.000000e-01,10,0,0,1,85,0, 8.92
01,1.000000e-01,10,0,0,1,115,1, 2.54
01,1.000000e-01,10,0,0,1,115,1, 2.20
01,1.000000e-01,10,0,0,1,95,1, 8.22
01,1.000000e-01,10,0,0,1,105,1, 1.70
01,1.000000e-01,10,0,0,1,85,0, 2.82
01,1.000000e-01,10,0,0,1,85,0, 8.99
01,1.000000e-01,10,0,0,1,65,0, 1.00
01,1.000000e-01,10,0,0,1,105,1, 1.89
01,1.000000e-01,10,0,0,1,105,1, 2.22
01,1.000000e-01,10,0,0,1,95,1, 1.75
01,1.000000e-01,10,0,0,1,65,0, 1.78
01,1.000000e-01,10,0,0,1,95,1, 1.62
01,1.000000e-01,10,0,0,1,85,0, 3.36
01,1.000000e-01,10,0,0,1,65,0, 1.00
01,1.000000e-01,10,0,0,1,75,0, 1.78
01,1.000000e-01,10,0,0,1,75,0, 3.18
01,1.000000e-01,10,0,0,1,105,1, 5.21
01,1.000000e-01,10,0,0,1,85,0, 9.17
01,1.000000e-01,10,0,0,1,75,0, 1.26
01,1.000000e-01,10,0,0,1,115,1, 2.76
01,1.000000e-01,10,0,0,1,115,1, 2.04
01,1.000000e-01,10,0,0,1,115,1, 7.24
01,1.000000e-01,10,0,0,1,65,0, 2.20
01,1.000000e-01,10,0,0,1,95,1, 2.19
01,1.000000e-01,10,0,0,1,105,1, 2.07
01,1.000000e-01,10,0,0,1,75,0, 2.83
01,1.000000e-01,10,0,0,1,65,0, 1.05
01,1.000000e-01,10,0,0,1,75,0, 4.46
01,1.000000e-01,10,0,0,1,75,0, 1.80
01,1.000000e-01,10,0,0,1,95,1, 2.96
01,1.000000e-01,10,0,0,1,115,1, 1.48
01,10,5,0,0,1,75,0, 3.38
01,10,5,0,0,1,85,0, 6.54
01,10,5,0,0,1,95,0, 3.92
01,10,5,0,0,1,95,1, 3.58
01,10,5,0,0,1,105,1, 5.31
01,10,5,0,0,1,115,1, 1.66
01,10,5,0,0,1,115,1, 1.88
01,10,5,0,0,1,95,0, 2.90
01,10,5,0,0,1,65,0, 1.32
01,10,5,0,0,1,115,1, 2.81
01,10,5,0,0,1,105,1, 3.14
01,10,5,0,0,1,75,0, 2.86
01,10,5,0,0,1,85,0, 1.76
01,10,5,0,0,1,95,1, 6.68
01,10,5,0,0,1,85,0, 1.46
01,10,5,0,0,1,115,1, 1.57
01,10,5,0,0,1,105,1, 1.49
01,10,5,0,0,1,75,0, 2.26
01,10,5,0,0,1,95,1, 1.43
01,10,5,0,0,1,85,0, 6.50
01,10,5,0,0,1,75,0, 1.11
01,10,5,0,0,1,75,0, 1.00
01,10,5,0,0,1,65,0, 1.00
01,10,5,0,0,1,85,0, 1.00
01,10,5,0,0,1,85,0, 3.04
01,10,5,0,0,1,65,0, 1.04
01,10,5,0,0,1,105,1, 2.14
01,10,5,0,0,1,115,1, 1.10
01,10,5,0,0,1,105,1, 1.93
01,10,5,0,0,1,65,0, 1.07
01,10,5,0,0,1,65,0, 1.62
01,10,5,0,0,1,95,1, 9.62
01,10,5,0,0,1,105,1, 1.78
01,10,5,0,0,1,65,0, 1.00
01,10,5,0,0,1,115,1, 1.20
01,10,5,0,0,1,75,0, 5.25
01,1,20,0,0,1,115,1, 1.60
01,1,20,0,0,1,95,1, 1.13
01,1,20,0,0,1,75,0, 1.39
01,1,20,0,0,1,75,0, 1.38
01,1,20,0,0,1,85,0,10.91
01,1,20,0,0,1,85,0, 5.19
01,1,20,0,0,1,105,1, 1.02
01,1,20,0,0,1,115,1, 1.00
01,1,20,0,0,1,95,1, 2.45
01,1,20,0,0,1,115,1, 1.00
01,1,20,0,0,1,85,0,11.16
01,1,20,0,0,1,85,0, 1.00
01,1,20,0,0,1,115,1, 1.12
01,1,20,0,0,1,115,1, 1.05
01,1,20,0,0,1,95,1, 2.75
01,1,20,0,0,1,105,1, 1.07
01,1,20,0,0,1,105,1, 2.43
01,1,20,0,0,1,85,0, 5.19
01,1,20,0,0,1,65,0, 1.16
01,1,20,0,0,1,75,0, 1.00
01,1,20,0,0,1,75,0, 1.00
01,1,20,0,0,1,115,1, 2.09
01,1,20,0,0,1,75,0, 1.22
01,1,20,0,0,1,65,0, 1.05
01,1,20,0,0,1,95,1, 5.29
01,1,20,0,0,1,105,1, 2.17
01,1,20,0,0,1,65,0, 1.21
01,1,20,0,0,1,75,0, 1.75
01,1,20,0,0,1,105,1, 1.90
01,1,20,0,0,1,95,1, 2.16
01,1,20,0,0,1,65,0, 1.00
01,1,20,0,0,1,85,0, 7.17
01,1,20,0,0,1,65,0, 1.00
01,1,20,0,0,1,105,1, 1.18
01,1,20,0,0,1,65,0, 1.00
01,1,20,0,0,1,95,1, 3.68
01,10,20,0,0,1,115,1, 2.00
01,10,20,0,0,1,85,0, 3.27
01,10,20,0,0,1,75,0, 1.07
01,10,20,0,0,1,95,1, 2.38
01,10,20,0,0,1,95,0, 6.01
01,10,20,0,0,1,85,0, 1.28
01,10,20,0,0,1,95,0, 6.03
01,10,20,0,0,1,105,1, 2.53
01,10,20,0,0,1,85,0, 2.24
01,10,20,0,0,1,115,1, 1.07
01,10,20,0,0,1,95,1, 5.30
01,10,20,0,0,1,105,1, 1.00
01,10,20,0,0,1,65,0, 1.00
01,10,20,0,0,1,115,1, 1.21
01,10,20,0,0,1,95,1, 7.82
01,10,20,0,0,1,65,0, 1.03
01,10,20,0,0,1,85,0, 4.94
01,10,20,0,0,1,65,0, 1.24
01,10,20,0,0,1,115,1, 1.00
01,10,20,0,0,1,85,0,10.02
01,10,20,0,0,1,105,1, 2.01
01,10,20,0,0,1,75,0, 3.97
01,10,20,0,0,1,85,0, 1.00
01,10,20,0,0,1,75,0, 2.36
01,10,20,0,0,1,95,1, 5.54
01,10,20,0,0,1,105,1, 1.30
01,10,20,0,0,1,65,0, 1.00
01,10,20,0,0,1,115,1, 1.00
01,10,20,0,0,1,75,0, 1.00
01,10,20,0,0,1,75,0, 3.70
01,10,20,0,0,1,105,1, 1.46
01,10,20,0,0,1,105,1, 1.72
01,10,20,0,0,1,75,0, 1.05
01,10,20,0,0,1,65,0, 1.22
01,10,20,0,0,1,65,0, 1.09
01,10,20,0,0,1,115,1, 1.37
01,1.000000e-01,20,0,0,1,65,0, 2.44
01,1.000000e-01,20,0,0,1,105,1, 1.54
01,1.000000e-01,20,0,0,1,85,1, 3.38
01,1.000000e-01,20,0,0,1,85,1, 8.98
01,1.000000e-01,20,0,0,1,65,0, 1.00
01,1.000000e-01,20,0,0,1,105,1, 1.08
01,1.000000e-01,20,0,0,1,115,1, 1.20
01,1.000000e-01,20,0,0,1,115,1, 1.18
01,1.000000e-01,20,0,0,1,95,1, 2.56
01,1.000000e-01,20,0,0,1,95,1, 2.17
01,1.000000e-01,20,0,0,1,105,1, 2.18
01,1.000000e-01,20,0,0,1,85,0, 5.06
01,1.000000e-01,20,0,0,1,75,0, 1.61
01,1.000000e-01,20,0,0,1,95,1, 5.98
01,1.000000e-01,20,0,0,1,105,1, 2.29
01,1.000000e-01,20,0,0,1,85,0, 6.66
01,1.000000e-01,20,0,0,1,95,1, 3.53
01,1.000000e-01,20,0,0,1,115,1, 2.30
01,1.000000e-01,20,0,0,1,65,0, 1.01
01,1.000000e-01,20,0,0,1,95,1,17.43
01,1.000000e-01,20,0,0,1,65,0, 1.06
01,1.000000e-01,20,0,0,1,115,1, 1.66
01,1.000000e-01,20,0,0,1,105,1, 1.16
01,1.000000e-01,20,0,0,1,65,0, 1.00
01,1.000000e-01,20,0,0,1,75,0, 1.42
01,1.000000e-01,20,0,0,1,75,0, 2.19
01,1.000000e-01,20,0,0,1,115,1, 1.37
01,1.000000e-01,20,0,0,1,75,0, 1.76
01,1.000000e-01,20,0,0,1,85,0,12.55
01,1.000000e-01,20,0,0,1,75,0, 1.71
01,1.000000e-01,20,0,0,1,115,1, 1.39
01,1.000000e-01,20,0,0,1,85,0, 5.62
01,1.000000e-01,20,0,0,1,75,0, 1.94
01,1.000000e-01,20,0,0,1,105,1, 3.25
01,1.000000e-01,20,0,0,1,65,0, 1.08
01,1.000000e-01,20,0,0,1,95,1, 5.93
01,10,10,0,0,1,75,0, 3.39
01,10,10,0,0,1,105,1, 2.80
01,10,10,0,0,1,85,0, 3.28
01,10,10,0,0,1,85,0, 1.02
01,10,10,0,0,1,115,1, 1.59
01,10,10,0,0,1,85,0, 7.44
01,10,10,0,0,1,75,0, 1.83
01,10,10,0,0,1,95,1,17.70
01,10,10,0,0,1,115,1, 1.14
01,10,10,0,0,1,95,1, 6.60
01,10,10,0,0,1,105,1, 1.31
01,10,10,0,0,1,115,1, 4.34
01,10,10,0,0,1,95,0, 6.85
01,10,10,0,0,1,115,1, 1.00
01,10,10,0,0,1,65,0, 1.20
01,10,10,0,0,1,115,1, 5.03
01,10,10,0,0,1,75,0, 1.00
01,10,10,0,0,1,85,0, 1.18
01,10,10,0,0,1,65,0, 1.15
01,10,10,0,0,1,75,0, 1.17
01,10,10,0,0,1,65,0, 1.00
01,10,10,0,0,1,105,1, 1.27
01,10,10,0,0,1,95,0, 7.33
01,10,10,0,0,1,65,0, 1.22
01,10,10,0,0,1,95,1, 7.30
01,10,10,0,0,1,115,1, 1.01
01,10,10,0,0,1,105,1, 2.13
01,10,10,0,0,1,105,1, 1.71
01,10,10,0,0,1,75,0, 1.80
01,10,10,0,0,1,95,1, 5.41
01,10,10,0,0,1,85,0, 3.71
01,10,10,0,0,1,75,0, 1.14
01,10,10,0,0,1,65,0, 1.01
01,10,10,0,0,1,65,0, 1.32
01,10,10,0,0,1,85,0, 1.02
01,10,10,0,0,1,105,1, 3.30
01,1,40,0,0,1,105,1, 2.59
01,1,40,0,0,1,85,0, 4.14
01,1,40,0,0,1,85,0, 1.00
01,1,40,0,0,1,75,0, 1.00
01,1,40,0,0,1,115,1, 2.04
01,1,40,0,0,1,65,0, 1.12
01,1,40,0,0,1,75,0, 2.21
01,1,40,0,0,1,105,1, 2.51
01,1,40,0,0,1,95,1, 2.77
01,1,40,0,0,1,105,1, 2.36
01,1,40,0,0,1,85,0, 2.26
01,1,40,0,0,1,105,1, 3.00
01,1,40,0,0,1,115,1, 2.14
01,1,40,0,0,1,85,0, 2.16
01,1,40,0,0,1,85,0, 3.02
01,1,40,0,0,1,115,1, 1.11
01,1,40,0,0,1,95,1, 3.15
01,1,40,0,0,1,105,1, 1.74
01,1,40,0,0,1,75,0, 2.09
01,1,40,0,0,1,65,0, 1.13
01,1,40,0,0,1,95,0,14.18
01,1,40,0,0,1,75,0, 1.09
01,1,40,0,0,1,65,0, 1.00
01,1,40,0,0,1,65,0, 4.13
01,1,40,0,0,1,95,1, 4.14
01,1,40,0,0,1,115,1, 1.00
01,1,40,0,0,1,85,0, 8.24
01,1,40,0,0,1,115,1, 1.00
01,1,40,0,0,1,95,1, 2.35
01,1,40,0,0,1,105,1, 1.09
01,1,40,0,0,1,75,0, 1.01
01,1,40,0,0,1,75,0, 2.70
01,1,40,0,0,1,65,0, 5.75
01,1,40,0,0,1,95,1, 5.81
01,1,40,0,0,1,115,1, 1.21
01,1,40,0,0,1,65,0, 1.00
01,1,10,0,0,1,75,0, 2.41
01,1,10,0,0,1,75,0, 1.74
01,1,10,0,0,1,115,1, 1.67
01,1,10,0,0,1,105,1, 1.67
01,1,10,0,0,1,105,1, 1.15
01,1,10,0,0,1,115,1, 1.02
01,1,10,0,0,1,65,0, 9.58
01,1,10,0,0,1,85,1, 4.02
01,1,10,0,0,1,75,0, 3.11
01,1,10,0,0,1,105,1, 2.45
01,1,10,0,0,1,115,1, 1.53
